,۱ ستاره,۲ ستاره,۳ ستاره, ۴ ستاره, ۵ ستاره, همه‌ برچسب‌ها
تعداد کلمات,185409,177952,181633,174613,172375,891982
حجم فایل, \lr{1.11MB},\lr{1.06MB},\lr{1.08MB},\lr{1.04MB},\lr{1.03MB},\lr{5.33MB}
