,۱ ستاره,۲ ستاره,۳ ستاره, ۴ ستاره, ۵ ستاره, همه‌ برچسب‌ها
تعداد کلمات,310607,300340,308304,295907,285647,1500805
حجم فایل, \lr{1.61MB},\lr{1.55MB},\lr{1.58MB},\lr{1.52MB},\lr{1.48MB},\lr{7.74MB}
